Match ID,Date,Venue,Bat First,Bat Second,Innings,Over,Ball,Batter,Non Striker,Bowler,Batter Runs,Extra Runs,Runs From Ball,Ball Rebowled,Extra Type,Wicket,Method,Player Out,Innings Runs,Innings Wickets,Target Score,Runs to Get,Balls Remaining,Winner,Chased Successfully,Total Batter Runs,Total Non Striker Runs,Batter Balls Faced,Non Striker Balls Faced,Player Out Runs,Player Out Balls Faced,Bowler Runs Conceded,Valid Ball
,,,,,2,1,1,JJ Roy,Abhishek Sharma,TA Boult,0,0,0,,,0,,,0,0,,,119,,,,,,,,,,
,,,,,2,1,2,JJ Roy,Abhishek Sharma,TA Boult,0,0,0,,,0,,,0,0,,,118,,,,,,,,,,
,,,,,2,1,3,JJ Roy,Abhishek Sharma,TA Boult,2,0,2,,,0,,,2,0,,,117,,,,,,,,,,
,,,,,2,1,4,JJ Roy,Abhishek Sharma,TA Boult,1,0,1,,,0,,,3,0,,,116,,,,,,,,,,
,,,,,2,1,5,Abhishek Sharma,JJ Roy,TA Boult,0,0,0,,,0,,,3,0,,,115,,,,,,,,,,
,,,,,2,1,6,Abhishek Sharma,JJ Roy,TA Boult,2,0,2,,,0,,,5,0,,,114,,,,,,,,,,
,,,,,2,2,1,JJ Roy,Abhishek Sharma,JJ Bumrah,1,0,1,,,0,,,6,0,,,113,,,,,,,,,,
,,,,,2,2,2,Abhishek Sharma,JJ Roy,JJ Bumrah,1,0,1,,,0,,,7,0,,,112,,,,,,,,,,
,,,,,2,2,3,JJ Roy,Abhishek Sharma,JJ Bumrah,4,0,4,,,0,,,11,0,,,111,,,,,,,,,,
,,,,,2,2,4,JJ Roy,Abhishek Sharma,JJ Bumrah,0,0,0,,,0,,,11,0,,,110,,,,,,,,,,
,,,,,2,2,5,JJ Roy,Abhishek Sharma,JJ Bumrah,4,0,4,,,0,,,15,0,,,109,,,,,,,,,,
,,,,,2,2,6,JJ Roy,Abhishek Sharma,JJ Bumrah,0,0,0,,,0,,,15,0,,,108,,,,,,,,,,
,,,,,2,3,1,Abhishek Sharma,JJ Roy,PP Chawla,1,0,1,,,0,,,16,0,,,107,,,,,,,,,,
,,,,,2,3,2,JJ Roy,Abhishek Sharma,PP Chawla,4,0,4,,,0,,,20,0,,,106,,,,,,,,,,
,,,,,2,3,3,JJ Roy,Abhishek Sharma,PP Chawla,4,0,4,,,0,,,24,0,,,105,,,,,,,,,,
